version,throughput,total,final,gif,swap,step,wrap,init
v0,156592.6,6.3952,0.18722832035525536,0.3094411608343497,0.0,0.4949182224724021,0.0007818119273227633,0.007630484410670169
v1,121476.6,8.2354,0.19853798329123762,0.23625412861861275,0.0,0.5608849815426461,0.0006071497959976685,0.003715756751505731
v2,130298.8,7.6792,0.2154074537073209,0.18876474724587858,0.0,0.589342917415423,0.002864807146391645,0.0036200744849858063
v3,136750.0,7.313,0.24747709558320796,0.12347873649664982,0.0,0.6220429372350608,0.0030083413099958978,0.003992889375085465
v4,168624.4,5.9504,0.2622256579168487,0.15255604476859475,0.0,0.576177192215911,0.0038987665109400725,0.0051423385877054405
v5.0,251161.6,4.002599999999999,0.45007995202878265,0.4661702978213072,0.0,0.06705976414151509,0.00904457325604637,0.0076454127523485895
v5.1,303626.2,3.3012,0.3544986367767343,0.47203877612844597,0.0,0.15383217206907,0.012420478642835506,0.007209936382914268
v6.0,253196.6,2.95,0.34286292566917975,0.3846581996660426,0.0,0.254667813591054,0.010170520669938775,0.0076405404037848505
v6.1,264141.0,2.8440000000000003,0.3522577237919198,0.37496699234222336,0.0,0.2524425666754687,0.011565883284922102,0.008766833905466067
v7.0,284539.6,3.086,0.43115839511063325,0.4333088110463471,0.0,0.10819987550223528,0.018561484918793503,0.008771433421990832
v7.1,318546.8,3.092,0.44041417863041554,0.5167068987422183,0.0,0.019501969254224368,0.012831914623300727,0.01054503874984119
