version,throughput,total,final,gif,swap,step,wrap,init
v0,156592.6,6.3952,1.1974,1.9789999999999999,0.0,3.1652,0.005,0.048799999999999996
v1,121476.6,8.2354,1.6350000000000002,1.9456,0.0,4.619,0.005,0.0306
v2,130298.8,7.6792,1.6542000000000001,1.4496,0.0,4.525799999999999,0.022,0.027800000000000002
v3,136750.0,7.313,1.8097999999999999,0.9030000000000001,0.0,4.5489999999999995,0.022,0.029200000000000004
v4,168624.4,5.9504,1.5604,0.9077999999999999,0.0,3.4286000000000003,0.0232,0.0306
v5.0,251161.6,4.002599999999999,1.8014,1.8658000000000001,0.0,0.2684,0.036199999999999996,0.0306
v5.1,303626.2,3.3012,1.1702,1.5582,0.0,0.5078,0.041,0.023799999999999998
v6.0,253196.6,2.95,1.3552,1.5204,0.0,1.0066,0.0402,0.030199999999999998
v6.1,264141.0,2.8440000000000003,1.334,1.42,0.0,0.9560000000000001,0.0438,0.03319999999999999
v7.0,284539.6,3.086,1.5238,1.5314,0.0,0.38239999999999996,0.0656,0.031
v7.1,318546.8,3.092,1.3866,1.6268,0.0,0.061399999999999996,0.040400000000000005,0.0332
