version,throughput,total,final,gif,swap,step,wrap,init
v0,155733.6,6.4236,1.1416,2.041,0.0,3.2016,0.005,0.034
v1,129746.6,7.7082,1.1328,2.0136,0.0,4.5244,0.005,0.0318
v2,137156.8,7.2909999999999995,1.1206,1.5222,0.0,4.5918,0.022,0.034600000000000006
v3,148356.6,6.741200000000001,1.1022,0.9494,0.0,4.6339999999999995,0.022399999999999996,0.0334
v4,179173.0,5.586,1.0858,0.9742,0.0,3.469,0.024,0.0334
v5.0,297930.2,3.3592,1.0434,1.7868,0.0,0.4612,0.0366,0.0314
v5.1,338805.0,2.9618,0.9710000000000001,1.3112,0.0,0.605,0.0402,0.034
v6.0,389019.4,2.566,1.0724,1.4222,0.0,0.9955999999999999,0.034,0.033
v6.1,407412.4,2.452,1.0295999999999998,1.3288,0.0,0.9551999999999999,0.047799999999999995,0.0332
v7.0,386665.0,2.5919999999999996,1.034,1.5268000000000002,0.0,0.3386,0.0568,0.0332
v7.1,415320.0,2.404,1.0022,1.3212,0.0,0.0794,0.0426,0.0328
